Mentee,Mentee_Email,Mentee_Phone,Mentee_Organization,Mentee_Bio,Mentee_Additional_Notes,Mentee_Field_1,Mentee_Field_2,Mentee_Field_3,Mentee_Field_4,Mentee_Field_5,Mentor,Mentor_Email,Mentor_Phone,Mentor_Bio,Mentor_Additional_Notes,Mentor_Field_1,Mentor_Field_2,Mentor_Field_3,Mentor_Field_4,Mentor_Field_5,Compatibility_Score
Kennedy Fischer,kfischer@cornell.edu,None,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,None,Medicine and healthcare,Entrepreneurship and startups,Health and wellness,Academia and research,Media and entertainment,Isaiah Fischer,isaiah64@cornell.edu,None,None,None,Medicine and healthcare,Academia and research,Entrepreneurship and startups,None,None,0.98
Claire Harris,claire30@icloud.com,None,First Gen|Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,None,Public service and government,Policy and advocacy,Law and legal services,Non-profit and social enterprise,Corporate and general management,Sophia Anderson,sanderson@gmail.com,None,None,None,Public service and government,Law and legal services,Non-profit and social enterprise,None,None,0.98
Aaliyah Allen,aaliyahallen@icloud.com,None,First Gen|Nan,None,None,Engineering,Academia and research,Policy and advocacy,Public service and government,Business,Allison Diallo,allisondiallo@icloud.com,None,None,None,Engineering,Corporate and general management,Retail and consumer goods,Consulting and strategy,Business,1.0
Aaron Butler,aaron.butler@cornell.edu,None,First Gen|Nan,None,None,IT and technology,Psychology and social work,Media and entertainment,Design,Creative fields,Henry Perez,henry.perez@cornell.edu,None,None,None,IT and technology,Engineering,None,None,None,0.84
Aiden Nakamura,aidennakamura@hotmail.com,None,First Gen|Nan,None,None,Engineering,Business,IT and technology,Architecture and urban planning,"Biotech, pharmaceutical, life sciences, and medical devices",Jasmine Allen,jasmine1@gmail.com,None,None,None,Engineering,Marketing,None,None,None,0.98
Jackson Gonzalez,jackson9@outlook.com,None,First Gen|Nan,None,None,Engineering,Design,Academia and research,None,None,Allison Diallo,allisondiallo@icloud.com,None,None,None,Engineering,Corporate and general management,Retail and consumer goods,Consulting and strategy,Business,0.94
John Reed,john_reed@icloud.com,None,First Gen|Nan,None,None,"Finance, investment and financial services",Entrepreneurship and startups,Consulting and strategy,Corporate and general management,Human resources,Adrian Bryant,adrian_bryant@cornell.edu,None,None,None,"Finance, investment and financial services",Retail and consumer goods,Entrepreneurship and startups,None,None,0.9
Lillian Griffin,lilliangriffin@icloud.com,None,First Gen|Nan,None,None,Law and legal services,Marketing,Policy and advocacy,Entrepreneurship and startups,Media and entertainment,Luke Simmons,luke.simmons@icloud.com,None,None,None,Law and legal services,Human resources,Business,"Energy, sustainability and the environment",None,0.94
Luke Griffin,lukegriffin@outlook.com,None,First Gen|Nan,None,None,"Finance, investment and financial services",Consulting and strategy,Psychology and social work,Business,Marketing,Aria Hayes,aria.hayes@outlook.com,None,None,None,"Finance, investment and financial services",Business,Corporate and general management,IT and technology,Education,0.94
Nora Hayes,nora76@outlook.com,None,First Gen|Nan,None,None,Medicine and healthcare,Academia and research,Health and wellness,Psychology and social work,None,Sebastian Lopez,sebastianlopez@yahoo.com,None,None,None,Medicine and healthcare,Health and wellness,None,None,None,0.98
