Name,Role,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes,Mentor_Level_Preferences,Remaining_Capacity
Sarah Carter,Mentor,sarah5@outlook.com,,Nan|Nan,,College Of Human Ecology|Cornell Jeb E. Brooks School Of Public Policy,,Consulting and strategy,Business,"Finance, investment and financial services",Human resources,,,,"Undergraduate students, Graduate students",1
Zoe Russell,Mentor,zoe68@gmail.com,,Nan|Nan,,,,"Finance, investment and financial services",Entrepreneurship and startups,Business,Data and analytics,,,,Undergraduate students,2
Lydia Sanchez,Mentor,lydiasanchez@icloud.com,,Nan|Nan,,,Entrepreneurship And Startup Advice,Entrepreneurship and startups,Hospitality,Retail and consumer goods,Business,,,,Undergraduate students,1
Nia Kowalski,Mentor,nia_kowalski@cornell.edu,,Nan|Nan,East Coast U.S.|NYC Area,Nolan School Of Hotel Administration,,Hospitality,Entrepreneurship and startups,Corporate and general management,,,,,"Undergraduate students, Graduate students",2
Layla Mitchell,Mentor,layla.mitchell@icloud.com,,Nan|Nan,,College Of Agriculture And Life Sciences,,Veterinary medicine,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,,,,,"Undergraduate students, Graduate students",2
Aubrey Weber,Mentor,aubrey.weber@outlook.com,,Nan|Nan,,College Of Arts And Sciences,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.),Psychology and social work,Education,,,,,,"Undergraduate students, Graduate students",4
Arianna Ramos,Mentor,arianna.ramos@cornell.edu,,Nan|Nan,,,,"Journalism, publishing and communications",Creative fields,,,,,,Undergraduate students,1
Matthew Lopez,Mentor,matthewlopez@yahoo.com,,Nan|Nan,,,,Engineering,Academia and research,Business,"Energy, sustainability and the environment",Corporate and general management,,,"Undergraduate students, Graduate students",2
Naomi Green,Mentor,naomi18@icloud.com,,Nan|Nan,,,Work-Life Balance|First Generation Student Guidance|Networking,"Journalism, publishing and communications",Media and entertainment,,,,,,"Undergraduate students, Graduate students",1
Sarah Garcia,Mentor,sarahgarcia@icloud.com,,Nan|Nan,,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Networking,Design,IT and technology,Creative fields,,,,,"Undergraduate students, Graduate students",2
Emma Wang,Mentor,emma_wang@hotmail.com,,Nan|Nan,,College Of Human Ecology|Cornell Jeb E. Brooks School Of Public Policy,,Medicine and healthcare,Health and wellness,Corporate and general management,Business,,,,"Undergraduate students, Graduate students",2
Addison Campbell,Mentor,addisoncampbell@yahoo.com,,Nan|Nan,East Coast U.S.,College Of Arts And Sciences,,Law and legal services,Business,IT and technology,Human resources,"Finance, investment and financial services",,,Graduate students,2
Lena Singh,Mentor,lsingh@outlook.com,,Nan|Nan,,College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Entrepreneurship And Startup Advice|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Engineering,Data and analytics,Entrepreneurship and startups,Medicine and healthcare,Business,,,Undergraduate students,1
Adrian Bryant,Mentor,adrian.bryant@gmail.com,,Nan|Nan,,,,Law and legal services,Non-profit and social enterprise,Policy and advocacy,Public service and government,,,,Undergraduate students,1
Zara Thompson,Mentor,zarathompson@outlook.com,,Nan|Nan,,,,Business,Corporate and general management,Retail and consumer goods,Marketing,,,,"Undergraduate students, Graduate students",1
Noah Thompson,Mentor,noah_thompson@outlook.com,,Nan|Nan,,,,Law and legal services,Education,Academia and research,Policy and advocacy,Public service and government,,,"Undergraduate students, Graduate students",1
