Mentee,Mentee_Email,Mentee_Phone,Mentee_Organization,Mentee_Bio,Mentee_Additional_Notes,Mentee_Field_1,Mentee_Field_2,Mentee_Field_3,Mentee_Field_4,Mentee_Field_5,Mentor,Mentor_Email,Mentor_Phone,Mentor_Bio,Mentor_Additional_Notes,Mentor_Field_1,Mentor_Field_2,Mentor_Field_3,Mentor_Field_4,Mentor_Field_5,Compatibility_Score
Aisha Myers,aisha95@icloud.com,None,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,None,Business,Data and analytics,Corporate and general management,"Biotech, pharmaceutical, life sciences, and medical devices",Architecture and urban planning,Nadia Lopez,nadialopez@hotmail.com,None,None,None,Business,Design,Creative fields,Entrepreneurship and startups,Retail and consumer goods,0.88
Camila Harris,camilaharris@cornell.edu,None,GenEq - Gender Equity Resource Center|Nan,None,None,Engineering,Design,Entrepreneurship and startups,Health and wellness,Medicine and healthcare,Abigail Singh,abigail91@cornell.edu,None,None,None,Engineering,IT and technology,None,None,None,0.94
Amelia Simmons,amelia.simmons@hotmail.com,None,Nan|Cornell Tech,None,None,Consulting and strategy,IT and technology,Hospitality,Retail and consumer goods,None,Sarah Carter,sarah5@outlook.com,None,None,None,Consulting and strategy,Business,"Finance, investment and financial services",Human resources,None,0.9
Matthew Lin,matthew_lin@icloud.com,None,Nan|Cornell Tech,None,None,Entrepreneurship and startups,Corporate and general management,IT and technology,Engineering,Business,Scarlett Ramirez,scarlettramirez@gmail.com,None,None,None,Entrepreneurship and startups,"Finance, investment and financial services",Business,Corporate and general management,Real estate,1.0
Evelyn Nelson,evelyn33@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Public service and government,IT and technology,Academia and research,Policy and advocacy,Entrepreneurship and startups,Sophia Anderson,sanderson@gmail.com,None,None,None,Public service and government,Law and legal services,Non-profit and social enterprise,None,None,0.9
Genesis Morales,genesismorales@outlook.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Entrepreneurship and startups,"Journalism, publishing and communications",Hospitality,Health and wellness,Creative fields,Hunter Mitchell,hmitchell@yahoo.com,None,None,None,Entrepreneurship and startups,"Journalism, publishing and communications",Non-profit and social enterprise,Policy and advocacy,Public service and government,0.98
Liam Russell,liam50@icloud.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Public service and government,IT and technology,Academia and research,Policy and advocacy,Entrepreneurship and startups,Isaiah Taylor,isaiah.taylor@gmail.com,None,None,None,Public service and government,None,None,None,None,1.0
Oliver Anderson,oliver81@cornell.edu,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",Academia and research,Consulting and strategy,Data and analytics,Gabriella Alexander,gabriella.alexander@outlook.com,None,None,None,Medicine and healthcare,None,None,None,None,0.94
Owen Nwosu,owennwosu@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Architecture and urban planning,Public service and government,Corporate and general management,Academia and research,Entrepreneurship and startups,Layla Martin,laylamartin@outlook.com,None,None,None,Architecture and urban planning,None,None,None,None,0.84
Wyatt Moore,wyatt_moore@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Non-profit and social enterprise,Engineering,"Energy, sustainability and the environment",None,None,Scarlett Rivera,scarlett_rivera@cornell.edu,None,None,None,Non-profit and social enterprise,Policy and advocacy,None,None,None,0.98
