Mentee,Mentee_Email,Mentee_Phone,Mentee_Organization,Mentee_Bio,Mentee_Additional_Notes,Mentee_Field_1,Mentee_Field_2,Mentee_Field_3,Mentee_Field_4,Mentee_Field_5,Mentor,Mentor_Email,Mentor_Phone,Mentor_Bio,Mentor_Additional_Notes,Mentor_Field_1,Mentor_Field_2,Mentor_Field_3,Mentor_Field_4,Mentor_Field_5,Compatibility_Score
Noah Adams,nadams@icloud.com,None,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,None,Policy and advocacy,Real estate,Data and analytics,Academia and research,Business,Aiden Patel,aidenpatel@cornell.edu,None,None,None,Policy and advocacy,Public service and government,Non-profit and social enterprise,None,None,0.9
Daniel Anderson,daniel.anderson@icloud.com,None,Nan|Cornell Tech,None,None,Consulting and strategy,IT and technology,Law and legal services,Retail and consumer goods,Academia and research,Sarah Carter,sarah5@outlook.com,None,None,None,Consulting and strategy,Business,"Finance, investment and financial services",Human resources,None,0.8
Ethan Johnson,ethan.johnson@gmail.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Law and legal services,Policy and advocacy,Psychology and social work,Public service and government,Non-profit and social enterprise,Addison Campbell,addisoncampbell@yahoo.com,None,None,None,Law and legal services,Business,IT and technology,Human resources,"Finance, investment and financial services",0.92
Matthew Patel,mpatel@outlook.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Entrepreneurship and startups,IT and technology,Academia and research,"Finance, investment and financial services",Business,Lydia Sanchez,lydiasanchez@icloud.com,None,None,None,Entrepreneurship and startups,Hospitality,Retail and consumer goods,Business,None,1.0
Nia Lee,nia_lee@outlook.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Public service and government,Policy and advocacy,Academia and research,Data and analytics,None,Amara Klein,amara.klein@cornell.edu,None,None,None,Public service and government,Policy and advocacy,Law and legal services,None,None,0.94
Scarlett Johnson,scarlett24@outlook.com,None,Nan|Graduate And Professional Students Assembly. (Gpsa),None,None,Public service and government,Non-profit and social enterprise,Policy and advocacy,Consulting and strategy,Marketing,Kayla Kim,kayla85@gmail.com,None,None,None,Public service and government,Creative fields,Policy and advocacy,"Journalism, publishing and communications",Non-profit and social enterprise,0.9
Kaylee Harris,kharris@cornell.edu,None,Nan|Graduate And Professional Students Assembly. (Gpsa)|Other,None,None,Corporate and general management,Marketing,Business,Consulting and strategy,Entrepreneurship and startups,Nadia Foster,nadia96@gmail.com,None,None,None,Corporate and general management,Non-profit and social enterprise,Education,None,None,0.8
Isaiah Lee,isaiah.lee@yahoo.com,None,Nan|Other,None,None,Non-profit and social enterprise,Consulting and strategy,Design,Medicine and healthcare,Public service and government,Abigail Wang,abigail.wang@outlook.com,None,None,None,Non-profit and social enterprise,Policy and advocacy,Public service and government,None,None,0.88
Mia Bauer,mia_bauer@gmail.com,None,Nan|Other,None,None,Veterinary medicine,Policy and advocacy,Education,None,None,Emma Anderson,emmaanderson@hotmail.com,None,None,None,Veterinary medicine,Business,None,None,None,0.94
Aria Petrov,aria.petrov@yahoo.com,None,Other|Nan,None,None,Medicine and healthcare,Academia and research,Policy and advocacy,Public service and government,"Journalism, publishing and communications",Emma Wang,emma_wang@hotmail.com,None,None,None,Medicine and healthcare,Health and wellness,Corporate and general management,Business,None,0.88
