Full Name,Email Address,Timestamp,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Unnamed: 43,Unnamed: 44
Sarah Carter,sarah5@outlook.com,10/14/25 10:07,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,2nd,1st Choice,,,,,,,,,3rd,,,4th,,,,,,,,,,,,,,No,,No,,Yes,"College of Human Ecology, Cornell Jeb E. Brooks School of Public Policy",,
Zoe Russell,zoe68@gmail.com,11/5/25 12:49,PCCW member,,,Undergraduate students,2.0,,,,,3rd,,,,4th,,,,,2nd,1st Choice,,,,,,,,,,,,,,,,,No,,No,,No,,,
Lydia Sanchez,lydiasanchez@icloud.com,11/5/25 14:11,PCCW member,,,Undergraduate students,1.0,,,,,4th,,,,,,,,,1st Choice,,,2nd,,,,,,,,,,,,,3rd,,No,,Yes,Entrepreneurship and Startup Advice,No,,,
Nia Kowalski,nia_kowalski@cornell.edu,11/5/25 14:45,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,,,3rd,,,,,,,2nd,,,1st Choice,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",No,,Yes,Nolan School of Hotel Administration,,
Layla Mitchell,layla.mitchell@icloud.com,11/5/25 15:02,PCCW member,,,"Undergraduate students, Graduate students",2.0,1,3rd,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,No,,No,,Yes,College of Agriculture and Life Sciences,,
Aubrey Weber,aubrey.weber@outlook.com,11/5/25 18:20,PCCW member,,,"Undergraduate students, Graduate students",4.0,0,,,,,,,,,,2nd,,,,,,,,,,,,,,,,1st Choice,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.)",Yes,College of Arts and Sciences,,
Arianna Ramos,arianna.ramos@cornell.edu,11/5/25 18:48,PCCW member,,,Undergraduate students,1.0,1,,,,,,,2nd,,,,,,,,,,,,1st Choice,,,,,,,,,,,,No,,No,,No,,,
Matthew Lopez,matthewlopez@yahoo.com,11/5/25 19:38,PCCW member,,,"Undergraduate students, Graduate students",2.0,1,2nd,,,3rd,,5th,,,,,4th,1st Choice,,,,,,,,,,,,,,,,,,,No,,No,,No,,,
Naomi Green,naomi18@icloud.com,11/5/25 19:40,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,1st Choice,,,2nd,,,,,,,,,No,,Yes,"Work-Life Balance, First Generation student guidance, Networking",No,,,
Sarah Garcia,sarahgarcia@icloud.com,11/5/25 23:12,PCCW member,,,"Undergraduate students, Graduate students",2.0,1,,,,,,,3rd,,1st Choice,,,,,,,,,2nd,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",No,,,
Emma Wang,emma_wang@hotmail.com,11/6/25 17:18,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,4th,,3rd,,,,,,,,,2nd,,,,,,,,1st Choice,,,,,,,,No,,No,,Yes,"College of Human Ecology, Cornell Jeb E. Brooks School of Public Policy",,
Addison Campbell,addisoncampbell@yahoo.com,11/6/25 21:46,PCCW member,,,Graduate students,2.0,,,,,2nd,,,,,,,,,,5th,,,4th,3rd,,1st Choice,,,,,,,,,,,Yes,East Coast U.S.,No,,Yes,College of Arts and Sciences,,
Lena Singh,lsingh@outlook.com,11/7/25 9:26,PCCW member,,,Undergraduate students,1.0,,,,,5th,,,,2nd,,,,1st Choice,3rd,,,,,,,,,,4th,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Engineering,,
Adrian Bryant,adrian.bryant@gmail.com,11/7/25 9:45,PCCW member,,,Undergraduate students,1.0,2,,,,,,,,,,,,,,,,,,,,1st Choice,,,,2nd,3rd,,4th,,,,No,,No,,No,,,
Zara Thompson,zarathompson@outlook.com,11/7/25 10:32,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,1st Choice,,2nd,,,,,,,,,,,,,,,4th,,,,,,,,3rd,,No,,No,,No,,,
Noah Thompson,noah_thompson@outlook.com,11/7/25 11:19,PCCW member,,,"Undergraduate students, Graduate students",1.0,,3rd,,,,,,,,,2nd,,,,,,,,,,1st Choice,,,,,4th,,5th,,,,No,,No,,No,,,
Ava Perez,aperez@cornell.edu,11/7/25 12:19,PCCW member,,,"Undergraduate students, Graduate students",3.0,,,,,4th,,2nd,,,,,,,,,,,,3rd,,,,,,,,,1st Choice,,,,No,,No,,Yes,"College of Agriculture and Life Sciences, Dyson School of Applied Economics and Management, The Charles H. Dyson School of Applied Economics and Management",,
Naomi Ortiz,nortiz@hotmail.com,11/7/25 13:25,PCCW member,,,Graduate students,1.0,,3rd,,,,,,,,,,,,,,4th,,,,,,,,2nd,,,1st Choice,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance",No,,"I am a psychologist at Stanford University Counseling and Psychological Services.  I specialize in individual therapy for students at Stanford, and I also maintain a private practice, treating patients with a broad range of clinical concerns.   I attended Cornell as an undergrad.",
Owen Lin,owenlin@cornell.edu,11/7/25 13:47,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,2nd,,,1st Choice,,,,,,,,,Yes,West Coast U.S.,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",No,,"Debra Birnbaum is an accomplished multi-platform media strategist and content creator with over 25 years of experience covering news and entertainment. She is currently the editor-in-chief of Gold Derby, and has held senior roles at Amazon MGM Studios, Variety and TV Guide Magazine.",
Abigail Wang,abigail.wang@outlook.com,11/8/25 7:55,PCCW member,,,Undergraduate students,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,2nd,,3rd,,,,No,,No,,No,,"This is the best option, I keep it very up to date: https://www.linkedin.com/in/suzanne-ehlers",
Imani Smith,ismith@cornell.edu,11/9/25 23:20,PCCW member,,,Undergraduate students,2.0,,2nd,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,No,,No,,No,,"Lisa Barsanti Hoyt '79 is a retired senior development executive who supports and advises nonprofit organizations. She is a trustee of Montclair Ambulance Unit and serves Cornell through volunteer roles with her class, the Annual Fund, Cornell University Council and PCCW.
",
Kayla Kim,kayla85@gmail.com,11/10/25 14:34,PCCW member,,,Undergraduate students,1.0,1,,,,,,,2nd,,,,,,,,,,,,4th,,,,,5th,3rd,,1st Choice,,,,Yes,East Coast U.S.,Yes,"Public Service and Non-Profit Careers, Networking",Yes,College of Arts and Sciences,"An English major at Cornell, I loved playing first violin in the Cornell Symphony Orchestra.  I was a book editor at Little, Brown and later spent 30 years in Federal service -- 7 were at the National Endowment for the Arts where I was Senior Deputy Chairman and Acting Chairman.",
Wyatt Reed,wreed@cornell.edu,11/10/25 15:30,PCCW member,,,"Undergraduate students, Graduate students",1.0,0,,,,3rd,,,,,,,,,2nd,,,,,,,1st Choice,,,,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",No,,"Cornell alum, attorney, mediator, and author of Better Apart and The Secret to Getting Along. I’ve given two TEDx talks on resilience and conflict resolution and founded Mediator Gabby, an AI platform transforming family mediation.
",
Scarlett Griffin,scarlett.griffin@outlook.com,11/10/25 17:16,PCCW member,,,Undergraduate students,1.0,,,,,,,,,,,,,,,,,1st Choice,2nd,,,3rd,,,,,,,,,,,Yes,East Coast U.S.,Yes,"Work-Life Balance, Navigating the workforce, Networking",Yes,School of Industrial and Labor Relations,"I am a 2003 graduate of the ILR school and currently work as a labor negotiator and labor counsel for a large hospitality company. I live in Washington DC with my husband, also a Cornell Alum (fun fact we met at our 5 year reunion) and our two boys, ages 8 and 11. ",
Zara Hayes,zarahayes@outlook.com,11/10/25 17:26,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,4th,3rd,,2nd,,,,Yes,"East Coast U.S., NYC area",No,,Yes,College of Arts and Sciences,"Cornell University Press published my book in 2023: A National Park for Women's Rights: The Campaign That Made It Happen. It is my story of suggesting this new park in Seneca Falls, New York, promoting the legislation then moving to Seneca Falls as the first superintendent. ",
