Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Aisha Diallo,Mentee,Undergraduate,aisha.diallo@gmail.com,,First Gen|Nan,,College Of Arts And Sciences,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|First Generation Student Guidance|Networking,,,,,,,
Claire Patel,Mentee,Undergraduate,claire24@outlook.com,,First Gen|Nan,NYC Area,Charles H. Dyson School Of Applied Economics And Management,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Transitioning From Academia To Industry Or Navigating Career Changes|First Generation Student Guidance|Networking,Data and analytics,Business,"Energy, sustainability and the environment",Consulting and strategy,Corporate and general management,,
Evelyn Nwosu,Mentee,Undergraduate,evelynnwosu@icloud.com,,First Gen|Nan,NYC Area,,Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|First Generation Student Guidance|Networking,Data and analytics,Consulting and strategy,"Biotech, pharmaceutical, life sciences, and medical devices",IT and technology,Non-profit and social enterprise,,
Harper Malik,Mentee,Undergraduate,harper_malik@gmail.com,,First Gen|Nan,East Coast U.S.,College Of Agriculture And Life Sciences,,Academia and research,Education,Policy and advocacy,Public service and government,"Journalism, publishing and communications",,
Jocelyn Taylor,Mentee,Undergraduate,jocelyn.taylor@cornell.edu,,First Gen|Nan,,Cornell Ann S. Bowers College Of Computing And Information Science|College Of Engineering,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|First Generation Student Guidance|Networking,Data and analytics,IT and technology,Academia and research,Business,Consulting and strategy,,
Mia Rivera,Mentee,Undergraduate,mrivera@icloud.com,,First Gen|Nan,East Coast U.S.|NYC Area,College Of Agriculture And Life Sciences|College Of Arts And Sciences|College Of Human Ecology|Weill Cornell Medicine (NYC),Work-Life Balance|Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|First Generation Student Guidance|Networking,Medicine and healthcare,Academia and research,Health and wellness,,,,
Nathan Tanaka,Mentee,Undergraduate,nathan.tanaka@outlook.com,,First Gen|Nan,,,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Navigating The Workforce|Public Service And Non-Profit Careers|First Generation Student Guidance|Networking,Health and wellness,Medicine and healthcare,"Energy, sustainability and the environment",Policy and advocacy,Academia and research,,
Oliver Petrov,Mentee,Undergraduate,oliverpetrov@gmail.com,,First Gen|Nan,East Coast U.S.|West Coast U.S.|NYC Area,Cornell SC Johnson College Of Business|Nolan School Of Hotel Administration|Charles H. Dyson School Of Applied Economics And Management,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|First Generation Student Guidance|Networking,Real estate,Human resources,Hospitality,Corporate and general management,Business,,
Aaliyah Martinez,Mentee,Graduate,amartinez@yahoo.com,,Nan|Cornell Tech,,Cornell Ann S. Bowers College Of Computing And Information Science,Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|Transitioning From Academia To Industry Or Navigating Career Changes|Networking,Academia and research,IT and technology,Media and entertainment,Psychology and social work,Health and wellness,,
Aaron Hernandez,Mentee,Graduate,aaronhernandez@hotmail.com,,Nan|Graduate And Professional Students Assembly. (Gpsa),,"College Of Arts And Sciences|Literature, Archaeology, Religion, Culture|Literature, Archaeology, Religion, Culture|Literature, Archaeology, Religion, Culture|College Of Agriculture And Life Sciences",Career Guidance|Interviewing And Internship/Job Search Strategies. Mentors Can Provide Guidance On Excelling In Competitive Recruitment Processes|Exploring Options And Making Informed Decisions.)|International Student Guidance|Networking,Academia and research,,,,,,
